,Date,unemployment_rate,inflation_rate,treasury_yield,Monthly Real GDP Index,GDP_growth,SP500_return,ABBV,AZN,BMY,JNJ,LLY,MRK,NVO,NVS,PFE,ROG
135,2011-04-01,9.1,224.093,3.4143478260869564,15940.24741,0.22957328038457625,3.343108653390092,,8.044269711776963,7.642019711730308,10.919817461731363,5.231717565991167,10.178947633890445,3.2394247639612628,8.868432929548531,3.249602459085832,-7.85619353670427
136,2011-05-01,9.0,224.806,3.4549999999999996,15870.0818,-0.44017892693423155,-1.1214239135358683,,5.157507098774494,2.348748202388684,2.3889424955903182,3.9718994359937643,2.2253482650255174,-1.083284567372511,9.041743822390892,2.289018120775199,13.029864614080267
137,2011-06-01,9.1,224.806,3.168571428571429,15820.31685,-0.3135771486697747,-2.1719772046414954,,-4.446561177702457,0.6954525628317887,-0.28693740953013025,-1.2187471536017402,-3.9728149177214123,-0.5792977666213339,-5.285199291516573,-3.033018243796981,-1.5555072181745122
138,2011-07-01,9.0,225.395,3.002272727272727,15862.13448,0.26432865028238606,-1.5146181940053571,,-3.1156260491479792,0.11926755466349359,-2.6007189035490597,2.0517170576243027,-2.23912083292358,-2.6022087065815547,0.14729836794276085,-6.5533969946033555,4.935062211353536
139,2011-08-01,9.0,226.106,3.003,15935.32267,0.46140190081152,-5.497524297550804,,-2.2469672511595373,3.8032161031066547,1.558896500335183,-2.0626728876182665,-3.017843150590638,-12.588090943001152,-4.477109060905149,-1.4026230324164168,2.867160484268272
140,2011-09-01,9.0,226.597,2.3030434782608693,15814.76957,-0.7565149604843224,-7.421089070870934,,-4.730007181290096,5.478967532548884,-2.3443730959604503,-0.01919577698523689,-1.2084847626163575,-6.694172885420913,-4.60145486033976,-5.810827965306109,-21.535989760975973
141,2011-10-01,8.8,226.75,1.975238095238095,16079.73806,1.6754495778593892,11.488581021207956,,8.002723019797076,0.6692096047915541,1.0990961240997743,0.5139543013467307,6.772517421005642,6.81269769781041,1.255147257392042,8.936613793678072,10.324551470871391
142,2011-11-01,8.6,227.169,2.152,16034.59817,-0.280725281914207,-0.4063915537914631,,-4.02840690262175,4.632064500750244,0.5124962629878382,1.8568564375925467,3.6231846716427984,6.820329184300689,-4.161487731600044,4.20565539221458,-8.037983676594251
143,2011-12-01,8.5,227.223,2.0134999999999996,16031.99829,-0.016214188671492824,0.4080498338514982,,0.6742327445361296,7.701711914032128,2.2691644439053027,11.241925341094671,5.454571986846624,1.5059374456915187,5.635613421513286,8.907861598126289,-7.153652639823305
144,2012-01-01,8.3,227.842,1.9780952380952381,16085.00123,0.3306071959417567,5.301093596806727,,4.018120955563531,-8.51305378217251,0.5032308709344013,-4.3791556710986885,2.7304003601272164,3.4009993575780717,-4.915161419307735,-1.1090535914047517,4.259358841093741
145,2012-02-01,8.3,228.329,1.9665,16312.97611,1.4173134135346377,4.340494314794885,,-6.7705048184793615,0.7613818021805496,-1.2593062233343222,-1.2581950465739844,-0.26129880473650946,17.74627024338191,0.2759303698624871,-1.2616664031800728,-3.486859593928804
146,2012-03-01,8.2,228.807,1.9675,16141.83137,-1.0491325362457116,2.766049420847927,,3.343425554581292,4.911424141566845,2.24743459218284,3.9202096264155273,0.6025700369589382,-1.1544146249246934,6.193504078184442,8.307030844141682,4.475599462342639
147,2012-04-01,8.2,229.187,2.1727272727272724,16232.57349,0.5621550487056037,-0.23227059889587842,,-1.3261131120235192,-1.1259226200612038,-1.303852060133781,2.781241259034606,3.3265263006478474,7.851913459328719,-0.43309343937155687,1.1037162005808732,-1.1870944115423332
148,2012-05-01,8.2,228.713,2.052857142857143,16273.58535,0.25265162067655833,-6.005585486430731,,-7.949904652531325,0.9226391720742244,-4.101345079021468,-1.0630839878660536,-4.230368627838088,-8.998767852437584,-5.691510550521739,-4.497817304295881,5.275529928087619
149,2012-06-01,8.2,228.524,1.8031818181818182,16254.9869,-0.11428612441571895,3.5217519511574036,,10.73994074094049,7.828389090648202,9.270683389875668,6.030789858234953,11.096330518241748,8.632928418161834,7.437998696990267,6.209076109651535,-1.736543634561294
150,2012-07-01,8.2,228.59,1.6223809523809525,16324.45059,0.42733771750993466,1.707215661721806,,4.6033209662970975,-0.9735509884551963,2.457050794687432,2.610109970964203,6.952630206659816,6.3299834951517475,4.865854319940444,4.521752151118097,-9.492557632649568
151,2012-08-01,8.1,229.918,1.5266666666666668,16234.63404,-0.5501964645292179,2.505286195566958,,-0.04270099355188073,-6.392452248663583,-2.5859135277261247,1.9986065532892283,-2.535639864906536,1.6630101901985883,0.6652868557265101,-0.7487602356968659,10.990244376859337
152,2012-09-01,7.8,231.015,1.6782608695652175,16287.38382,0.32492127552754546,1.9906419062859948,,4.236767009279441,2.2417520465990437,3.1235028495156802,6.766606192995472,4.761905073543504,0.44554318130825,3.812897437686069,5.11113393689806,6.45890835810794
153,2012-10-01,7.8,231.638,1.7231578947368422,16217.92692,-0.4264460196161779,-1.2957496294273008,,-3.0505837075292086,-1.4814766600593332,2.77170374416833,2.5732969598607713,2.138515028607557,1.5715054285270202,-1.3058672709250096,0.08047572264089364,-6.964118792336748
154,2012-11-01,7.7,231.249,1.7461904761904763,16294.76466,0.47378274904694706,0.5659844824015714,,2.4569255645856325,-0.8719243093752715,-1.539090502416507,0.8431079451947765,-2.9147592192789173,-1.010663646117349,2.6298110220327686,0.6031361365442578,12.737884996701698
155,2012-12-01,7.9,231.221,1.654,16387.52553,0.5692679332013117,0.18290906287687925,,-0.5679433487576602,-0.12255501903902788,1.4195911460441524,1.6017145357654083,-7.584637863158816,2.8612838440626343,2.014500692468313,1.140332822318113,11.771324569689611
156,2013-01-01,8.0,231.679,1.719,16514.92461,0.7774149902422645,5.8646077504239,,1.9251192249852611,10.892880790900893,5.44935290116948,8.860492244385544,6.655737521646743,12.95263926307304,7.140608404641191,8.771881605504262,-5.638339197873476
157,2013-02-01,7.7,232.937,1.9147619047619049,16372.38465,-0.8630978546138146,1.2758464295475225,,-5.687005282885227,3.407164740020008,2.96268402945985,1.8066574944340719,-1.2023762980699848,-5.071891561837882,-0.029496353964475475,1.206795014844353,1.8139105058682548
158,2013-03-01,7.5,232.282,1.9842105263157896,16437.41777,0.39721226559381595,3.3375067093837085,10.455062359950794,14.582205222218803,11.414668981187859,7.978125948409209,4.851791685273432,3.4402101243681704,-7.714279078864717,9.067089204526258,5.443922143171687,-0.18864002162007898
159,2013-04-01,7.6,231.797,1.9575,16451.43006,0.08524629717432397,2.3745366610591345,12.922975131233972,3.881562941986072,-3.5688480998899874,4.538221966667977,-2.4828361456784687,7.3598672443477176,11.497419393597852,3.537346500800198,0.7276512827602,-10.457790117466558
160,2013-05-01,7.5,231.893,1.7590909090909093,16420.07273,-0.19060549682086148,2.3610040001835086,-6.438454989301102,-1.2904510116453216,16.816781226250743,-1.2319889789457972,-4.00866336514415,-0.6383131420646393,-8.792401247628412,-2.71150195744404,-6.329561778716808,8.513135835073381
161,2013-06-01,7.5,232.445,1.9281818181818182,16521.95952,0.6205014537715714,-1.853781049683989,-3.1622994698161655,-7.707318455525636,-2.8688941747107677,2.7624635004844134,-6.78813721255046,-0.5353721539410383,-3.8050868186428,-1.4632189147191998,3.722002990306006,2.269287284790522
162,2013-07-01,7.3,232.9,2.3,16556.71487,0.21035852289752466,5.724173206456062,10.014485585688405,7.230424339064934,-3.2445952206352047,8.898141296527617,8.122937921336604,4.655360888461257,9.00174513114953,1.2728091932059815,4.355583669667973,17.5401506563585
163,2013-08-01,7.2,233.456,2.5822727272727275,16619.25061,0.3777062085746907,-2.999246423760571,-5.449156986965553,-2.977105933834079,-2.8258031912681725,-7.5828863381649185,-3.219712660272389,-1.8268908657258942,-1.1721520475861835,1.9131463911825408,-2.7025469802915314,-0.2696830529704486
164,2013-09-01,7.2,233.544,2.7372727272727273,16608.53264,-0.06449129537494658,2.664237266911873,4.975347840711741,7.407628077150186,11.009813174634985,1.0799067273781882,-1.1859064974926503,0.6767123476281389,1.365757739728668,5.110978581932013,1.8433631584924726,7.229129679623214
165,2013-10-01,7.2,233.669,2.8095,16675.5499,0.40351102323510357,5.140646333933407,8.316583697503454,1.7908679956527562,13.483171517300008,6.828969579061228,-1.0133122922484028,-4.439461443895542,-1.5069011462907067,1.0950410705121039,6.822129788481579,2.488230587805229
166,2013-11-01,6.9,234.1,2.6159090909090907,16753.74525,0.4689221672983468,2.963787884960123,0.9007055980287282,8.19146172409524,-1.4403865954402684,2.2135827146443576,0.8028758991369234,10.51232990598583,7.235856089628201,2.024510042615546,3.3886959210939205,3.034780703088269
167,2013-12-01,6.7,234.719,2.718421052631579,16709.26425,-0.2654988442061912,2.0386405621971804,8.99894757844326,3.8118442027677,3.444958896416783,-2.567735940988791,2.55701929964276,0.44146532212625544,3.3737882963589705,1.5925094973903375,-2.7193658115645225,-2.0856572912734794
168,2014-01-01,6.6,235.288,2.901904761904762,16605.03591,-0.6237757596059379,-3.0010381323969604,-6.778990489887415,6.956380236569015,-5.3451965936812895,-3.406444878118764,5.9019702285052045,6.794124754051145,7.355482780885958,-1.6297593784274644,-0.7508967567002034,-1.300811767578125
169,2014-02-01,6.7,235.547,2.858095238095238,16681.05646,0.45781623365366286,4.551575061740576,4.231658011059691,6.708647544366175,7.604547463541689,4.125657962373341,10.36846676638843,7.589194090106788,19.813462482853605,5.1979259021359026,5.624986752790884,6.5897794646238905
170,2014-03-01,6.7,236.028,2.709473684210526,16676.96844,-0.02450696099376426,0.3865040884718729,0.9624781237526747,-1.5042529101254587,-3.384807389731881,7.4000108800224895,-0.36254064838899813,-0.3859916759031412,-3.955383012766589,5.65623869646994,0.8652495335136345,-3.5239550028430378
171,2014-04-01,6.2,236.468,2.723333333333333,16803.35175,0.7578314395371155,1.1395525868714618,1.3229787429540618,21.840321663454997,-3.580344906508315,3.115109861210885,0.40776828452833147,3.958232322497457,1.2891547788358215,2.2583068274825813,-2.6151901993557103,-3.8449179455049554
172,2014-05-01,6.3,236.918,2.705238095238095,16867.1599,0.37973465621223834,2.320663692861036,5.253860971889668,-8.665410415232543,-0.004721667145279884,0.16782594140769547,1.2859378477615424,-1.195351980853132,-6.8517094288002784,3.5886740369055925,-5.274948205546382,3.732085715903688
173,2014-06-01,6.1,237.231,2.559047619047619,16934.15884,0.39721530119603,1.5777358666455132,3.883667089342002,2.9224620841849402,-2.472871699798096,3.8331800209344014,4.722586136497453,-0.01730028385077409,9.247882571081757,0.5218627538172926,1.0616048112910503,6.569226249357807
174,2014-07-01,6.2,237.498,2.5985714285714288,17022.40393,0.5211070170876075,-0.871009024767655,-7.264328255434216,-2.045501930153759,4.349623340500153,-4.3299696925550135,-1.785423103794026,-1.179419904198531,-0.3031087204925398,-3.9655180069061102,-3.3018861716407,-13.54935654938403
175,2014-08-01,6.1,237.46,2.5422727272727275,17117.36074,0.5578343128883834,3.9463316484089406,6.418238174930857,4.423695835466757,0.8073647321936939,3.636770194882266,4.094321685604352,5.939389667687656,-0.19543960500627566,3.335617835434257,3.3076345298433285,4.9163174072827776
176,2014-09-01,5.9,237.477,2.42,17054.43878,-0.3675914818629944,-1.8384658502866635,4.48624615923483,-4.774052670652107,1.0463857455759618,3.452176939715712,2.8507880380140183,-1.3808097592229007,3.6118109218513217,4.775168379610584,0.6124704836336425,-9.006317640673778
177,2014-10-01,5.7,237.43,2.5342857142857143,17142.93257,0.5188900739658386,2.8335219056823124,9.86844350724143,2.0996559374917956,13.696758882690109,1.116420045201716,2.2821848749510876,-1.5474995263416003,-5.123873082154273,-1.529802698983207,1.2850713251437496,24.853916804626675
178,2014-11-01,5.8,236.983,2.304090909090909,17151.79412,0.0516921475588461,2.747214808827847,9.858538473473356,1.686310713448269,2.1967903681586964,0.43607273866821394,2.6986477423185162,4.2457785868309506,0.6197294631751671,4.272315418789541,4.006673695465124,3.5834384230219563
179,2014-12-01,5.6,236.252,2.3255555555555554,17129.30059,-0.13114388991978254,-0.8011636831725455,-5.433518216750921,-5.109863374091739,-0.03388941344960594,-2.770410506056231,2.013857579054079,-5.976823975616464,-6.907160609467522,-4.128306122782243,0.8660922551401606,14.995767851377417
180,2015-01-01,5.7,234.747,2.2072727272727275,17274.73477,0.84903746790983,-2.427334914847934,-7.778121687004691,0.9377223639744914,2.736169420479939,-4.236393550606687,4.362982774372082,6.9478262090197695,5.29298426995457,5.11546007384025,0.3210330238846204,-9.307467588189578
181,2015-02-01,5.5,235.342,1.8815000000000002,17353.58436,0.4564445767175185,5.620435224357356,1.0011262715714508,-3.0123569850419973,1.078493991192775,2.366713660150843,-2.541694138823525,-2.886521083982063,7.158890270832807,5.133476082963417,9.823990722905783,5.984292082886666
182,2015-03-01,5.4,235.976,1.9752631578947368,17213.75539,-0.8057641989069886,-2.0079702025157298,-3.2396434015388276,2.104778381867156,5.876546159925589,-1.1762747221023884,4.273803512447016,-1.8107466212641032,11.81153130553696,-3.701165039195431,2.2637077470302636,5.0204399162754765
183,2015-04-01,5.4,236.222,2.0427272727272725,17389.54895,1.0212388640199022,1.43413285673204,10.454367509351691,0.07307420961075728,-1.1937726932167436,-1.391669577111565,-1.0736200435707555,4.457159565016933,7.046814852702443,6.155280585089318,-2.4719499309822868,-11.55577193260704
184,2015-05-01,5.6,237.001,1.935,17349.77882,-0.22870133155467043,1.2856533657414015,3.839000055724262,-1.3580576804767541,1.949970105463561,0.9475869567849404,9.781522794031773,2.2330234639200253,0.3732257173322706,0.9135427125179119,2.4167177486050795,-0.6326490032522725
185,2015-06-01,5.3,237.657,2.1975000000000002,17403.51044,0.30969628234140956,-2.5054693362690394,0.9010572632986324,-5.684687952426404,3.003067805478432,-1.9665643791616727,6.549276338076515,-6.50350456867298,-3.0453595261345723,-4.273333722052897,-2.712419404897781,-8.456748249621537
186,2015-07-01,5.2,238.034,2.3636363636363638,17403.97079,0.002645155996483517,2.7563409897503277,4.197029026002941,6.074416774232683,-1.3525547361441848,2.8217080727882315,1.2217017558888044,4.353526628777926,7.6698519348521454,5.501326184900357,7.545499656057242,-15.376471519195412
187,2015-08-01,5.1,238.033,2.3245454545454547,17407.66602,0.02123210872155834,-6.094995242835688,-10.193988699352573,-7.4282371273470815,-8.893146602994218,-6.216951939390869,-2.555893142369048,-8.666894333218345,-6.258471855873404,-6.29397837198824,-10.648912125427067,-0.5538705851883208
188,2015-09-01,5.0,237.498,2.1671428571428573,17499.9371,0.5300600315630177,-3.055626971041492,-12.818466846353093,3.0887296124775254,-0.45400139299626163,0.08949451408093445,2.2391087229423734,-8.28227462198402,-1.8635770437520849,-5.4515533048638325,-1.7521758395631637,-4.455622617741772
189,2015-10-01,5.0,237.733,2.172857142857143,17488.01373,-0.068133787749447,9.070107662828253,9.446800712936533,0.21999290625929202,12.105638927353857,8.227109190608694,-2.53313643987223,11.62296142986181,-1.9543002909047202,-1.620971897717094,7.672728991389999,-12.523504718302759
190,2015-11-01,5.1,238.017,2.07,17422.41305,-0.3751179580072317,0.3654833325026807,-1.4497569055634485,6.773284334039387,1.607312783907311,0.20786360607756293,0.5761650683119734,-3.0186534075373306,3.365955915247243,-5.7392541232692444,-3.1046603795998884,19.15305193408512
191,2015-12-01,5.0,237.761,2.263157894736842,17477.62378,0.31689485171517706,-2.3096621980968735,1.8744512192631735,-0.2936982305633773,2.656268103502346,2.2098111958597455,3.3572227834830937,-0.3584019500722513,5.657617818857297,0.9385273551799189,-0.7002014253473687,-6.963739110770195
192,2016-01-01,4.8,237.652,2.2427272727272727,17548.10375,0.40325830837855126,-4.413148075286156,-7.3261117801363795,-5.095709626666678,-9.142944081506489,1.6744680179086258,-6.12392983701,-3.241462711912191,-3.805094212210147,-9.379359924208053,-5.545232111447818,-7.950355823896949
193,2016-02-01,4.9,237.336,2.0852631578947367,17517.7857,-0.1727710892978851,-0.08255719614741475,0.516499759826794,-11.017996868069934,-0.36999915361904945,0.737250835861869,-8.975978094498515,-0.9078024214714597,-8.000719458186756,-8.798245638610936,-2.6893935899709787,12.534225395484523
194,2016-03-01,5.0,238.08,1.7795,17630.83661,0.6453493148965705,6.178937413541075,4.596218288092535,1.3992606593617118,3.1486843470899473,3.587264664617229,0.7104507881211086,5.377382551680077,5.428008381819982,5.839496308358827,0.9032377960096261,12.07413138154887
195,2016-04-01,5.1,238.992,1.8890909090909092,17643.86692,0.07390636240489634,0.9119296139514343,6.792740405494979,2.8409212569602493,13.665984110591388,3.5859048547758565,4.888195830899544,4.554491330138011,4.77508242084328,4.873003240032814,10.357632890005487,-4.192414174566594
196,2016-05-01,4.8,239.557,1.805238095238095,17588.87336,-0.31168654949251806,1.7011550250151108,4.155215296601789,2.555259465777593,-0.6649801614273532,0.5442798958394057,-0.6620286951239285,2.5893546261555933,0.4481219594666186,4.659728708208966,6.083758138342521,15.882148733289082
197,2016-06-01,4.9,240.222,1.8061904761904761,17623.1511,0.19488309056765463,-0.17156360084241706,-1.6208423704819674,1.6498179025121518,2.580178199093841,8.408947907848718,5.65899356416546,2.3995629206298164,-4.032842197342168,3.773119452691809,2.3784017941826052,-8.078836539737356
198,2016-07-01,4.8,240.101,1.6440909090909093,17631.49454,0.04734363311451606,4.186159908386156,6.977875465122896,13.083791570777015,2.2527496727074103,3.2399059389967233,5.257077832191692,2.653807933618424,5.931588382442721,0.9089845307264754,4.771385912063031,12.013100082799543
199,2016-08-01,4.9,240.545,1.504,17739.19503,0.6108415242715992,0.11973562184639519,-2.3664429305849555,-3.8957129621913666,-23.285660734356327,-4.70333864600363,-6.20094207314329,7.040566836307871,-17.99194399626125,-5.392757065598741,-5.665474169786366,-18.30801015052782
200,2016-09-01,5.0,241.176,1.556521739130435,17802.69967,0.357990539551567,-0.49683060294277714,-1.6068728820331946,1.490138560504839,-6.046369282374576,-0.3535742719658841,3.8860323551178855,-0.6051949037142568,-10.13064492617579,0.24120371040270427,-1.863379364157669,9.2470076869118
201,2016-10-01,4.9,241.741,1.6304761904761906,17736.19871,-0.37354424459602464,-1.2373086535612865,-11.558589108089812,-13.816202741429318,-5.582327025074574,-1.8115699275821795,-7.998990729445731,-5.222552766364319,-14.546753990945183,-10.055726872107783,-6.3773366745556785,-10.887363010028384
202,2016-11-01,4.7,242.026,1.7645,17834.71328,0.5554435401338598,3.6838265642193946,10.004669073551554,-7.697738646856633,11.630621762556315,-4.043467995183336,-9.100775710193654,4.2064118493830405,-5.458669022196794,-3.1821898336802157,1.3560264721617976,36.54234664363412
203,2016-12-01,4.7,242.637,2.1420000000000003,17866.75842,0.1796784702781551,1.4293556798824492,2.993423595415945,4.5141736755808015,3.5435760573724773,4.22835497063232,10.297463332121026,-3.7914926140708127,6.726208360271602,5.933676152326872,2.0657624244260875,3.3503738885818812
204,2017-01-01,4.7,243.618,2.491904761904762,17844.63148,-0.12384417743752651,2.389421641933831,-2.4113499116310555,-0.3294523713198494,-15.879524711817417,-1.7012405423245225,4.7314743716762475,6.107821557391158,0.8644456010605372,1.4826938657570121,-2.3091053415270513,4.088008709091695
