,Monthly Nominal GDP Index,Monthly Real GDP Index
2005 - May,12881.95154,14777.61251
2005 - Jun,13026.86226,14930.16189
2005 - Jul,13095.96659,14945.10914
2005 - Aug,13153.04811,14981.79124
2005 - Sep,13178.9113,14942.74584
2005 - Oct,13236.02446,14964.05831
2005 - Nov,13299.14167,14996.76683
2005 - Dec,13437.44588,15163.5794
2006 - Jan,13517.67741,15213.19629
2006 - Feb,13568.59374,15196.23537
2006 - Mar,13711.20885,15323.42151
2006 - Apr,13695.02449,15240.50196
2006 - May,13782.82629,15312.99659
2006 - Jun,13782.42123,15291.72187
2006 - Jul,13791.70738,15244.73181
2006 - Aug,13884.40721,15303.67178
2006 - Sep,13934.4494,15365.90158
2006 - Oct,13966.21869,15367.51223
2006 - Nov,14059.42439,15475.63782
2006 - Dec,14093.03691,15458.54011
2007 - Jan,14135.12635,15444.30537
2007 - Feb,14286.33173,15546.46069
2007 - Mar,14225.49492,15446.77305
2007 - Apr,14363.13246,15575.93377
2007 - May,14400.87419,15569.89167
2007 - Jun,14442.23935,15588.00981
2007 - Jul,14423.35288,15537.68085
2007 - Aug,14601.64389,15723.08754
2007 - Sep,14667.35423,15754.46532
2007 - Oct,14664.55717,15733.43991
2007 - Nov,14714.89966,15759.36406
2007 - Dec,14765.71716,15809.07144
2008 - Jan,14802.15709,15843.06539
2008 - Feb,14627.55651,15621.46185
2008 - Mar,14689.9004,15644.68252
2008 - Apr,14757.86867,15694.73456
2008 - May,14802.0697,15735.02076
2008 - Jun,15037.16462,15948.42307
2008 - Jul,14973.64734,15816.58401
2008 - Aug,14917.05345,15742.31967
2008 - Sep,14806.2962,15570.01548
2008 - Oct,14695.05455,15446.6238
2008 - Nov,14698.72479,15461.75577
2008 - Dec,14430.84467,15191.6065
2009 - Jan,14478.54033,15229.5387
2009 - Feb,14443.13776,15180.04541
2009 - Mar,14371.02492,15153.12696
2009 - Apr,14360.25167,15148.2272
2009 - May,14378.00127,15166.30278
2009 - Jun,14405.45506,15170.94893
2009 - Jul,14376.48357,15152.51422
2009 - Aug,14479.88375,15244.86249
2009 - Sep,14490.27868,15252.80656
2009 - Oct,14693.96351,15451.96364
2009 - Nov,14665.82149,15386.44055
