Date,unemployment_rate,CPI,treasury_yield,GDP_growth,SP500_return,AZN,BMY,JNJ,LLY,MRK,NVO,NVS,PFE,ROG,inflation_change,unemp_change,treasury_yield_change
2000-02-01,4.1,170.0,6.661,0.4965598144879735,-1.522562650816195,-12.828963872922095,-13.228003719669845,-16.339821241702126,-11.121498243242955,-21.70115054697218,2.2200305900216044,3.838385582529491,-11.22622797157311,54.440789473684205,1.0,-0.09999999999999964,-0.14150000000000063
2000-03-01,4.0,171.0,6.519499999999999,0.511258087467481,9.413332696160136,22.264135775577287,-0.2183287744696671,-2.0790668009340707,5.8042430970428605,0.9137115536838492,8.390896707086881,6.420236989898975,14.10195396146543,6.922257720979763,1.0,-0.09999999999999964,-0.14150000000000063
2000-04-01,3.8,170.9,6.256521739130435,1.3278028289673172,-3.2668053177544287,5.567378741523976,-8.205682657222734,17.437698183253136,23.153694156948724,12.400711667287222,-0.0976627011932795,2.5594231040535265,15.213674316322944,7.370517928286846,-0.09999999999999432,-0.20000000000000018,-0.26297826086956366
2000-05-01,4.0,171.2,5.990526315789474,-0.1817973348371304,-1.572223131413364,-0.1483566372382561,5.395745508839567,8.484832439492385,-1.2965971752909369,7.374072347237104,20.863984797272277,5.169309610219064,5.638019172172748,-8.163265306122447,0.29999999999998295,0.20000000000000018,-0.2659954233409616
2000-06-01,4.0,172.2,6.440454545454545,0.3055647109412751,1.728613048756511,10.549735126328684,5.788826484344178,14.239887545522524,31.641748832369167,3.0786706882564463,2.813689561604482,8.474599013665518,8.076012145830202,13.131313131313128,1.0,0.0,0.44992822966507173
2000-07-01,4.0,172.7,6.097272727272728,-0.6538549383445558,-1.3384531098502128,-8.064478984107094,-11.37339188810531,-8.650270784869907,4.00504095117824,-6.484488687994205,13.75738223730023,-3.593736778435785,-9.63542113800252,2.1428571428571352,0.5,0.0,-0.3431818181818178
2000-08-01,4.1,172.7,6.054,0.7957096801750163,6.534123624212684,6.578935282891796,3.131244748874007,-1.192113059168387,-29.70818880942868,-2.4640070170111383,5.591665409157831,-1.944900558960916,-0.540360220975411,-2.447552447552448,0.0,0.09999999999999964,-0.04327272727272735
2000-09-01,3.9,173.6,5.826086956521739,0.2496695638410262,-5.723123223668846,15.363524569654372,8.458630633118336,2.496165155569652,11.482185051343086,7.01682931135017,9.35963086396674,2.314016224944382,4.352594668900478,-9.31899641577061,0.9000000000000057,-0.19999999999999973,-0.22791304347826102
2000-10-01,3.9,173.9,5.799,0.1872183288834428,-0.2177575787216334,-8.764861910232868,5.978225580053453,-1.9295085298352888,10.169492770834898,20.82280906753915,-4.279273794351457,-0.8077260834543187,-3.860903451684772,13.043478260869556,0.30000000000001137,0.0,-0.02708695652173887
2000-11-01,3.9,174.2,5.738571428571428,0.0099189243949027,-7.465269028949661,7.863716509497598,14.237842756598695,8.548194142188104,4.825204162332075,3.0577077121221707,-9.882361588064104,5.700306536186739,2.604918870919448,1.74825174825175,0.29999999999998295,0.0,-0.06042857142857194
2000-12-01,3.9,174.6,5.717142857142857,-0.0871233677474991,-0.8268520707651494,2.3312977529887924,6.6727398426099205,5.420677861550849,-0.3809315660131984,1.011424027534269,-7.12580934532464,13.37915696789802,4.02688731344556,12.886597938144329,0.4000000000000057,0.0,-0.021428571428571352
2001-01-01,4.2,175.6,5.2405,-0.0664234834427568,4.766323976082076,-13.766945011644328,-16.294178616736975,-11.357522311990786,-15.325722560496835,-11.891402571444566,12.82482873635189,-4.290495627499458,-1.8478774805126608,-5.022831050228316,1.0,0.30000000000000027,-0.47664285714285715
2001-02-01,4.2,176.0,5.160952380952381,-0.1950201016092223,-9.53874612092297,4.143179509397332,2.8515341674281824,4.509828744542244,0.8375268448064022,-2.4093184878399287,-0.3505082276851534,-0.3735626438152062,-0.3321457464102728,-8.84615580240885,0.4000000000000057,0.0,-0.0795476190476192
2001-03-01,4.3,176.1,5.098947368421053,-0.2172546625476612,-5.857225230739371,5.615486084013965,-6.3239217599878605,-9.8288432704406,-3.186579590481109,-5.361674125073035,-0.1507550253810441,-7.827520046490988,-8.777164140968052,-0.1125201586098523,0.09999999999999432,0.09999999999999964,-0.06200501253132806
2001-04-01,4.4,176.4,4.885454545454546,0.7569887758531957,8.83624997881558,-1.5129685622381597,-5.723910518131792,10.300706221183376,10.879155595557656,0.5335812212143631,0.7134465074844831,0.8696414262006735,5.738642761445534,-19.74091425761164,0.30000000000001137,0.10000000000000053,-0.21349282296650696
2001-05-01,4.3,177.3,5.141,0.461041760812253,-0.5605774712874823,0.6312834728640526,-2.6605170163773395,0.4871420543406168,-0.3528909216626186,-3.9225465740288734,3.1234412425828806,-1.9668019409298965,-0.9468749121735788,-8.070172761615957,0.9000000000000057,-0.10000000000000053,0.2555454545454543
2001-06-01,4.5,177.7,5.391363636363637,-0.6914424617376902,-2.659795953707944,-2.237527179061982,-3.5766938828571515,3.4332526988472223,-12.344135236570908,-12.03197674565204,9.916971890339642,-5.810316612244815,-6.381918216509352,1.145035222613067,0.39999999999997726,0.20000000000000018,0.25036363636363657
2001-07-01,4.6,177.4,5.284285714285714,-0.3109472537322411,-0.7380386929838112,7.91443653080186,13.078389530677724,8.286657779332884,7.135144191167231,6.368374767965679,0.6666548843401898,-3.125857787148756,2.9213483641385984,2.4528287491708323,-0.29999999999998295,0.09999999999999964,-0.10707792207792277
