Date,ABBV,unemployment_rate,CPI,treasury_yield,GDP_growth,SP500_return,AZN,BMY,JNJ,LLY,MRK,NVO,NVS,PFE,ROG,inflation_change,unemp_change,treasury_yield_change
2013-03-01,10.455062359950794,7.5,232.282,1.9842105263157896,0.3972122655938159,3.3375067093837085,14.582205222218803,11.41466898118786,7.978125948409209,4.851791685273432,3.4402101243681704,-7.714279078864717,9.067089204526258,5.443922143171687,-0.1886400216200789,-0.6550000000000011,-0.2000000000000001,0.0694486215538847
2013-04-01,12.922975131233972,7.6,231.797,1.9575,0.0852462971743239,2.3745366610591345,3.881562941986072,-3.5688480998899874,4.538221966667977,-2.4828361456784687,7.359867244347717,11.497419393597852,3.537346500800198,0.7276512827602,-10.457790117466558,-0.4850000000000136,0.0999999999999996,-0.0267105263157896
2013-05-01,-6.438454989301102,7.5,231.893,1.7590909090909093,-0.1906054968208614,2.3610040001835086,-1.2904510116453216,16.816781226250743,-1.2319889789457972,-4.00866336514415,-0.6383131420646393,-8.792401247628412,-2.71150195744404,-6.329561778716808,8.513135835073381,0.0960000000000036,-0.0999999999999996,-0.1984090909090907
2013-06-01,-3.162299469816165,7.5,232.445,1.9281818181818184,0.6205014537715714,-1.853781049683989,-7.707318455525636,-2.868894174710768,2.7624635004844134,-6.78813721255046,-0.5353721539410383,-3.8050868186428,-1.4632189147191998,3.722002990306006,2.269287284790522,0.5519999999999925,0.0,0.1690909090909091
2013-07-01,10.014485585688403,7.3,232.9,2.3,0.2103585228975246,5.724173206456062,7.230424339064934,-3.2445952206352047,8.898141296527617,8.122937921336604,4.655360888461257,9.00174513114953,1.2728091932059815,4.355583669667973,17.5401506563585,0.4550000000000125,-0.2000000000000001,0.3718181818181814
2013-08-01,-5.449156986965553,7.2,233.456,2.5822727272727275,0.3777062085746907,-2.999246423760571,-2.977105933834079,-2.8258031912681725,-7.5828863381649185,-3.219712660272389,-1.8268908657258944,-1.1721520475861835,1.9131463911825408,-2.7025469802915314,-0.2696830529704486,0.5559999999999832,-0.0999999999999996,0.2822727272727277
2013-09-01,4.975347840711741,7.2,233.544,2.737272727272728,-0.0644912953749465,2.664237266911873,7.407628077150186,11.009813174634983,1.0799067273781882,-1.1859064974926503,0.6767123476281389,1.365757739728668,5.110978581932013,1.8433631584924728,7.229129679623214,0.0880000000000222,0.0,0.1550000000000002
2013-10-01,8.316583697503454,7.2,233.669,2.8095,0.4035110232351035,5.140646333933407,1.7908679956527562,13.483171517300008,6.828969579061228,-1.0133122922484028,-4.439461443895542,-1.5069011462907067,1.095041070512104,6.822129788481579,2.488230587805229,0.125,0.0,0.0722272727272721
2013-11-01,0.9007055980287282,6.9,234.1,2.6159090909090907,0.4689221672983468,2.963787884960123,8.19146172409524,-1.4403865954402684,2.2135827146443576,0.8028758991369234,10.51232990598583,7.235856089628201,2.024510042615546,3.3886959210939205,3.034780703088269,0.4309999999999832,-0.2999999999999998,-0.1935909090909091
2013-12-01,8.99894757844326,6.7,234.719,2.718421052631579,-0.2654988442061912,2.0386405621971804,3.8118442027677,3.444958896416783,-2.567735940988791,2.55701929964276,0.4414653221262554,3.3737882963589705,1.5925094973903375,-2.7193658115645225,-2.0856572912734794,0.6189999999999998,-0.2000000000000001,0.1025119617224881
2014-01-01,-6.778990489887415,6.6,235.288,2.901904761904762,-0.6237757596059379,-3.0010381323969604,6.956380236569015,-5.3451965936812895,-3.406444878118764,5.9019702285052045,6.794124754051145,7.355482780885958,-1.6297593784274644,-0.7508967567002034,-1.300811767578125,0.5690000000000168,-0.1000000000000005,0.1834837092731831
2014-02-01,4.231658011059691,6.7,235.547,2.858095238095238,0.4578162336536628,4.551575061740576,6.708647544366175,7.604547463541689,4.125657962373341,10.36846676638843,7.589194090106788,19.813462482853605,5.197925902135903,5.624986752790884,6.5897794646238905,0.2589999999999861,0.1000000000000005,-0.0438095238095241
2014-03-01,0.9624781237526748,6.7,236.028,2.709473684210526,-0.0245069609937642,0.3865040884718729,-1.5042529101254587,-3.384807389731881,7.4000108800224895,-0.3625406483889981,-0.3859916759031412,-3.955383012766589,5.65623869646994,0.8652495335136345,-3.5239550028430378,0.4809999999999945,0.0,-0.1486215538847117
2014-04-01,1.3229787429540618,6.2,236.468,2.723333333333333,0.7578314395371155,1.1395525868714618,21.840321663455,-3.580344906508315,3.115109861210885,0.4077682845283314,3.958232322497457,1.2891547788358215,2.2583068274825813,-2.6151901993557103,-3.8449179455049554,0.4399999999999977,-0.5,0.0138596491228071
2014-05-01,5.253860971889668,6.3,236.918,2.705238095238095,0.3797346562122383,2.320663692861036,-8.665410415232543,-0.0047216671452798,0.1678259414076954,1.2859378477615424,-1.195351980853132,-6.8517094288002784,3.5886740369055925,-5.274948205546382,3.732085715903688,0.450000000000017,0.0999999999999996,-0.0180952380952379
2014-06-01,3.883667089342002,6.1,237.231,2.559047619047619,0.39721530119603,1.5777358666455132,2.92246208418494,-2.472871699798096,3.833180020934402,4.722586136497453,-0.017300283850774,9.247882571081757,0.5218627538172926,1.0616048112910503,6.569226249357807,0.3129999999999882,-0.2000000000000001,-0.1461904761904762
2014-07-01,-7.264328255434216,6.2,237.498,2.5985714285714288,0.5211070170876075,-0.871009024767655,-2.045501930153759,4.349623340500153,-4.3299696925550135,-1.785423103794026,-1.179419904198531,-0.3031087204925398,-3.9655180069061102,-3.3018861716407,-13.54935654938403,0.2669999999999959,0.1000000000000005,0.0395238095238097
